IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.227.128,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,51,3.5
47.76.32.108,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,109,2.44
166.0.198.3,13755,443,TRUE,HKG,Asia Pacific,Hong Kong,210,1.84
34.80.204.99,8443,443,TRUE,HKG,Asia Pacific,Hong Kong,121,1.77
210.186.12.244,443,443,TRUE,KUL,Asia Pacific,Kuala Lumpur,234,1.59
47.76.204.92,443,443,TRUE,HKG,Asia Pacific,Hong Kong,48,1.44
8.210.112.235,443,443,TRUE,HKG,Asia Pacific,Hong Kong,46,1.35
47.243.5.248,443,443,TRUE,HKG,Asia Pacific,Hong Kong,47,1.33
47.76.32.108,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,105,1.24
141.11.149.64,59644,443,TRUE,HKG,Asia Pacific,Hong Kong,320,0.96
47.76.49.246,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,586,0.91
47.76.49.246,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,587,0.83
47.76.146.1,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,46,0.81
47.238.6.102,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,267,0.76
47.76.94.15,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,657,0.68
103.20.222.236,34651,443,TRUE,HKG,Asia Pacific,Hong Kong,55,0.67
47.76.32.108,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,105,0.66
47.76.32.108,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,107,0.65
141.11.78.134,8443,443,TRUE,HKG,Asia Pacific,Hong Kong,319,0.58
47.76.49.246,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,586,0.52
47.76.49.246,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,592,0.51
47.238.6.102,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,266,0.49
47.238.6.102,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,266,0.46
156.251.176.43,21806,443,TRUE,HKG,Asia Pacific,Hong Kong,59,0.45
47.76.146.1,80,80,FALSE,HKG,Asia Pacific,Hong Kong,46,0.45
47.76.94.15,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,656,0.42
47.76.94.15,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,658,0.3
38.6.195.82,20002,443,TRUE,HKG,Asia Pacific,Hong Kong,322,0.27
141.11.90.15,44260,443,TRUE,HKG,Asia Pacific,Hong Kong,333,0.17
8.218.207.169,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,634,0.17
8.218.207.169,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,634,0.15
47.76.146.1,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,51,0.13
91.229.132.209,59430,443,TRUE,HKG,Asia Pacific,Hong Kong,316,0.13
47.76.146.1,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,46,0.1
8.218.228.152,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,49,0.1
47.76.146.1,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,48,0.1
38.181.25.31,52001,443,TRUE,HKG,Asia Pacific,Hong Kong,53,0.09
154.204.56.238,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,94,0.09
47.76.178.146,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,574,0.07
154.204.60.218,29876,443,TRUE,HKG,Asia Pacific,Hong Kong,91,0.07
47.76.178.146,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,570,0.05
47.76.178.146,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,571,0.05
47.76.178.146,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,570,0.05
43.155.28.244,443,443,TRUE,HKG,Asia Pacific,Hong Kong,65,0.03
43.135.95.17,443,443,TRUE,HKG,Asia Pacific,Hong Kong,418,0.03
103.118.244.200,28076,443,TRUE,HKG,Asia Pacific,Hong Kong,51,0.02
103.118.244.200,20001,443,TRUE,HKG,Asia Pacific,Hong Kong,48,0.02
43.154.245.30,80,80,FALSE,HKG,Asia Pacific,Hong Kong,63,0
221.127.50.207,443,443,TRUE,HKG,Asia Pacific,Hong Kong,327,0
47.76.49.246,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,590,0
156.251.183.241,30809,80,FALSE,HKG,Asia Pacific,Hong Kong,56,0
141.11.90.170,45121,8443,TRUE,HKG,Asia Pacific,Hong Kong,309,0
